pdb4fss.pdb, A, 340, 340
pdb4gbq.pdb, B, 1, 10
pdb4hvu.pdb, B, 1, 8
pdb4hvv.pdb, B, 1, 8
pdb4hvw.pdb, B, 5, 12
pdb4hxj.pdb, A, 120, 131
pdb4iim.pdb, E, 2014, 2014
pdb4iio.pdb, C, 13, 13
pdb4j9c.pdb, B, 3, 10
pdb4j9d.pdb, B, 3, 10
pdb4j9e.pdb, B, 3, 10
pdb4j9f.pdb, D, 3, 10
pdb4j9g.pdb, B, 3, 10
pdb4j9h.pdb, L, 3, 10
pdb4j9i.pdb, F, 3, 10
pdb4ln2.pdb, B, 858, 866
pdb4lnp.pdb, B, 870, 879
pdb4orz.pdb, B, 74, 82
pdb4qt7.pdb, B, 1, 8
pdb4rtv.pdb, B, 1, 8
pdb4rtw.pdb, B, 1, 7
pdb4rty.pdb, B, 1, 8
pdb4rtz.pdb, B, 5, 12
pdb4u5w.pdb, C, 74, 81
pdb4wci.pdb, B, 382, 389
pdb4x1v.pdb, B, 81, 87
pdb4z88.pdb, U, 152, 159
pdb4z89.pdb, a, 1686, 1693
pdb4z8a.pdb, B, 1687, 1693
pdb4znx.pdb, E, 1, 8
pdb5i22.pdb, B, 1730, 1737
pdb5ih2.pdb, M, 2, 9
pdb5ixb.pdb, B, 29, 41
pdb5ixf.pdb, B, 3, 10
pdb5k26.pdb, A, 79, 97
pdb5l23.pdb, B, 1, 9
pdb5np2.pdb, A, 108, 108
pdb5np3.pdb, A, 99, 115
pdb5nuh.pdb, A, 103, 110
pdb5oav.pdb, D, 1, 8
pdb5ob0.pdb, B, 1, 8
pdb5ob1.pdb, B, 1, 8
pdb5ob2.pdb, B, 1, 8
pdb5sxp.pdb, F, 256, 266
pdb5ul6.pdb, M, 2, 9
pdb5xgg.pdb, A, 8, 24
pdb5xhz.pdb, D, 133, 140
pdb5zau.pdb, B, 24, 42
pdb6a9c.pdb, E, 34, 41
pdb6atv.pdb, M, 2, 9
pdb6b27.pdb, K, 749, 756
pdb6c4s.pdb, A, 148, 155
pdb6f55.pdb, B, 101, 110
pdb6ghm.pdb, B, 317, 324
pdb6xvm.pdb, D, 120, 129
pdb6xvn.pdb, B, 120, 129
